Texts,Labels
Настроить автообновление на сайте wordpress В сети аптек и нужно настроить обновление цен и количества из crm смарт аптека,0
Набрать в тестовой сети Sepolia в кранах Всем привет! Кто может взять задачу  Нужно к завтрашнему утру набрать на кошельки Sepolia эфира в кранах (тестовая) сеть,0
Установить базис Установить базис мебельщик,0
"Сбор данных Привет. необходимо решение для сбора данных с сайта https://www.cylex-uk.co.uk в формате , компания и все контактные данные имеющиеся в карточке. Сам сбор не нужен, только полноценное решение.",0
"Игра R4 «Genesis»  
            Разработать игру «Genesis» в жанре хоррор для ПК и мобильных устройств. Игроки должны находить ключи на локации, открывать двери и избегать столкновения с противниками, чтобы выжить и выбраться наружу.",0
"Разработать автоматизированную модель семантического анализа текстов Автоматизированная модель семантического анализа текстов для
 оценки социальной реакции на деятельность компании в контексте принципов ESG
 (Environmental, Social, Governance), в частности, обрабатывать результаты в
 рамках фактора Social - насколько компания поддерживает принципы ESG,
 устойчивого развития, социального равенства, социальной защиты, обеспечения
 достойных и комфортных условий труда, образования, обеспечения гендерного
 равенства и т.д.. Модель должна интегрировать данные из различных источников,
 таких как новостные статьи, обсуждения на форумах, социальные сети и другие
 онлайн-платформы. Задача модели - выявлять общий уровень соответствия компании
 принципам ESG на шкале от 1 до 10, а также выявлять стоп-факторы,
 препятствующие повышению этого уровня. Модель должна учитывать не только
 отдельные слова, но и контекст сообщений, включая тональность и эмоциональную
 окраску высказываний.",0
Flutter разработка  В проект cartips.ru. На поддержку и выполнение нескольких задач может Flutter разработчик.  Бекенд Go,0
телеграмм магазин бот  Нужен такой магазин  Занимаюсь продажей товара метражом нужно сделать так что бы человек находил нужный ему товар и выбирал сколько нужно ему метров  И онлайн оплата и доставку внедрить как нибудь,0
"Создание телеграм бота для компании. Мы, компания по производству настольных игр. Необходимо разработать телеграм бота по готовому шаблону.",0
"Обновить сертификат poste.io У нас почтовый сервер работает на poste.io
 Необходимо обновить сертификат",0
Настроить сохранение в БД (PHP) ТЗ: https://docs.google.com/document/d/1uzrOGlmDz6DBheBCRFBouRtk-gv9IOC9H10Zzm2B8RQ/edit,0
"Создать бота тг  
            Нужно сделать бота телеграм для принятия средств. Подключить к нему платежку   aaio.so/   Аналог на конструкторе @AdVemeo_bot",0
"PHP программирование Битрикс24 – коробка Задача №1  Битрикс24, коробка – необходимо реализовать согласование с кнопками в штатных задачах, привязанных к смарт-объектам. Что-то подобное скриншоту ниже. Данные из задачи (включая файлы) нужно пробрасывать в поля карточки связанного смарт-объекта, а сам объект перемещается в стадию воронки «Согласовано».  Задача №2  Битрикс24, коробка – необходимо реализовать согласование в штатных задачах, привязанных к смарт-объектам. Согласование должно работать через ключевые слова в комментариях. Например, руководитель пишет комментарий в задаче – «Согласовано». Данные из задачи (включая файлы) нужно пробрасывать в поля карточки связанного смарт-объекта, а сам объект перемещается в стадию воронки «Согласовано». Важно — согласование должно работать и в браузере и в десктопном и в мобильном приложении.  Задача №3  Битрикс24, коробка — необходимо реализовать автоматическое сохранение файлов из задач конкретного сотрудника на его Мой диск в папки с названиями задач. Нужно видеть с какой задачей связан файл, имя и дату файла.",0
Внедрение 1С УНФ (стандарт) Проектная деятельность внедрение УНФ в мебельную компанию. Настройка отчетов. Сотрудничество постоянное.  Это не написание доработок под компанию. А именно работа и обучение персонала на стандартных отчетах УНФ.,0
"Бот telegram с ИИ и голосом 0)  Интеграция с искусственным интеллектом chat-GPT. 1)  Возможность дать и менять инструкцию боту документом, как в агентах GPT 2)  Чтобы пользователи голосом и текстом записывали ему сообщения и бот отвечал голосом или текстом (при выборе режима ответа) 3)  С админ-панелью (или как это называется?), чтобы я сама могла улучшать инструкции бота. 4)  С платной подпиской на бот после определенного количества сообщений/минут (и/или открывающимся доступом определенным людям). Возможность платить через крипту. 5)  В платной версии больше функций, например, возможность включить режим GPT-4o, а не GPT-3.  6)  Меню с кнопочками внутри самого бота телеграм (подписаться, транскрибировать и т.д.) 7)  Транкрибация сказанного ботом текста для начинающих (т.к. бот для изучения языка). Дополнительно не критично, если так возможно и не выйдет бот золотым - будет классно: 8)  Если реально, то, чтобы как в gpt агентах можно было делать документы word, транскрибировать аудио/видео. 9)  Нашла бот, где бот слышит произношение пользователя и даёт советы по произношению, хочу также. 10)  В админ-панеле, чтобы я кнопочки сама могла добавить/убрать (если возможно, конечно).  11)  Реферальную систему приведи друга, получи больше минут/скидку. 12)  Загружать документы для обработки пользователями ... есть продолжение, не помещается в описание.",0
